category,title,genres,similarity_score,query
Animated Family,"Amazing Panda Adventure, The (1995)",Adventure|Children,0.174,animated family children adventure
Animated Family,"Adventures of Pinocchio, The (1996)",Adventure|Children,0.144,animated family children adventure
Animated Family,"King and I, The (1999)",Animation|Children,0.138,animated family children adventure
Animated Family,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,0.13,animated family children adventure
Animated Family,"Aristocats, The (1970)",Animation|Children,0.116,animated family children adventure
Animated Family,"Adventures of Rocky and Bullwinkle, The (2000)",Adventure|Animation|Children|Comedy|Fantasy,0.11,animated family children adventure
Animated Family,101 Dalmatians II: Patch's London Adventure (2003),Animation|Children,0.108,animated family children adventure
Animated Family,Brother Bear (2003),Adventure|Animation|Children,0.106,animated family children adventure
Animated Family,Kid's Story (2003),Animation|Sci-Fi,0.1,animated family children adventure
Animated Family,"Jungle Book 2, The (2003)",Animation|Children,0.098,animated family children adventure
Animated Family,"Tigger Movie, The (2000)",Animation|Children,0.094,animated family children adventure
Animated Family,Family Guy Presents: Blue Harvest (2007),Animation|Comedy,0.093,animated family children adventure
Animated Family,Pokémon the Movie 2000 (2000),Animation|Children,0.084,animated family children adventure
Animated Family,Ice Age: A Mammoth Christmas (2011),Adventure|Animation|Children,0.084,animated family children adventure
Animated Family,Adventures in Babysitting (1987),Adventure|Comedy,0.081,animated family children adventure
Animated Family,Up (2009),Adventure|Animation|Children|Drama,0.078,animated family children adventure
Animated Family,Barney's Great Adventure (1998),Adventure|Children,0.072,animated family children adventure
Animated Family,Junior and Karlson (1968),Adventure|Animation|Children,0.07,animated family children adventure
Animated Family,Dinosaur (2000),Adventure|Animation|Children,0.067,animated family children adventure
Animated Family,"Adventures of Ichabod and Mr. Toad, The (1949)",Animation|Children,0.067,animated family children adventure
Action Thriller,Extreme Ops (2002),Action|Adventure|Crime|Thriller,0.15,action thriller suspense intense
Action Thriller,Hush (2016),Thriller,0.15,action thriller suspense intense
Action Thriller,The Gallows (2015),Horror|Thriller,0.149,action thriller suspense intense
Action Thriller,S.W.A.T. (2003),Action|Thriller,0.148,action thriller suspense intense
Action Thriller,Panic Room (2002),Thriller,0.148,action thriller suspense intense
