movie,genre
All Dogs Go to Heaven 2 (1996),Children
Ratatouille (2007),Children
"Incredibles, The (2004)",Children
"Jungle Book, The (1967)",Children
Thumbelina (1994),Children
Doctor Who: The Waters of Mars (2009),Children
Kung Fu Panda: Secrets of the Masters (2011),Children
Aladdin and the King of Thieves (1996),Children
Swiss Family Robinson (1960),Children
Good Burger (1997),Children
Because of Winn-Dixie (2005),Children
The Lego Movie (2014),Children
"Golden Compass, The (2007)",Children
Ferngully: The Last Rainforest (1992),Children
Candleshoe (1977),Children
Elf (2003),Children
Batman: Mask of the Phantasm (1993),Children
Fantastic Mr. Fox (2009),Children
"Nut Job, The (2014)",Children
Wallace & Gromit: The Wrong Trousers (1993),Children
"Next Karate Kid, The (1994)",Children
George of the Jungle (1997),Children
"Water Horse: Legend of the Deep, The (2007)",Children
Vovka in the Kingdom of Far Far Away (1965),Children
3 Ninjas Knuckle Up (1995),Children
"Karate Kid, The (2010)",Children
Christmas with the Kranks (2004),Children
"Emperor's New Groove 2: Kronk's New Groove, The (2005)",Children
"Watcher in the Woods, The (1980)",Children
Gena the Crocodile (1969),Children
"Apple Dumpling Gang Rides Again, The (1979)",Children
Paulie (1998),Children
Rango (2011),Children
"Road to El Dorado, The (2000)",Children
Aquamarine (2006),Children
"Muppets, The (2011)",Children
Valiant (2005),Children
Tom and Jerry: Shiver Me Whiskers (2006),Children
"Wizard of Oz, The (1939)",Children
Moana (2016),Children
"NeverEnding Story II: The Next Chapter, The (1990)",Children
Home Alone 3 (1997),Children
Jack-Jack Attack (2005),Children
"American Tail, An (1986)",Children
"Hunchback of Notre Dame, The (1996)",Children
"Cat from Outer Space, The (1978)",Children
"Sandlot, The (1993)",Children
Beethoven's 2nd (1993),Children
Madagascar: Escape 2 Africa (2008),Children
"Jungle Book, The (1994)",Children
It's a Very Merry Muppet Christmas Movie (2002),Children
"Bear, The (Ours, L') (1988)",Children
Robots (2005),Children
Garfield: The Movie (2004),Children
Saving Christmas (2014),Children
Peter Pan (1953),Children
"Little Drummer Boy, The (1968)",Children
Pete's Dragon (2016),Children
Madeline (1998),Children
"Snowflake, the White Gorilla (2011)",Children
Asterix and the Vikings (Astérix et les Vikings) (2006),Children
Ice Age: A Mammoth Christmas (2011),Children
Arthur Christmas (2011),Children
Air Bud (1997),Children
Curious George (2006),Children
Balto (1995),Children
Big Top Pee-Wee (1988),Children
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Children
Buddy (1997),Children
"All Dogs Christmas Carol, An (1998)",Children
"Smurfs 2, The (2013)",Children
G.I. Joe: The Movie (1987),Children
Son of the Mask (2005),Children
Wallace & Gromit in The Curse of the Were-Rabbit (2005),Children
Song of the South (1946),Children
Geri's Game (1997),Children
Bugsy Malone (1976),Children
Return from Witch Mountain (1978),Children
"Red Balloon, The (Ballon rouge, Le) (1956)",Children
Addams Family Values (1993),Children
Space Buddies (2009),Children
RocketMan (a.k.a. Rocket Man) (1997),Children
Jonah: A VeggieTales Movie (2002),Children
Titan A.E. (2000),Children
Daffy Duck's Quackbusters (1988),Children
Land Before Time III: The Time of the Great Giving (1995),Children
TMNT (Teenage Mutant Ninja Turtles) (2007),Children
Mulan (1998),Children
"In the blue sea, in the white foam. (1984)",Children
Risen (2016),Children
Angels in the Outfield (1994),Children
Casper (1995),Children
Despicable Me (2010),Children
Alice Through the Looking Glass (2016),Children
Big Top Scooby-Doo! (2012),Children
"Princess and the Frog, The (2009)",Children
Cloudy with a Chance of Meatballs 2 (2013),Children
"Adventures of Huck Finn, The (1993)",Children
Ice Age (2002),Children
Wide Awake (1998),Children
Cinderella (1950),Children
"Flintstones in Viva Rock Vegas, The (2000)",Children
Cosmic Scrat-tastrophe (2015),Children
"Parent Trap, The (1961)",Children
Cinderella (2015),Children
Are We There Yet? (2005),Children
"Black Hole, The (1979)",Children
Peter Pan (2003),Children
"Karate Kid, Part III, The (1989)",Children
Flipper (1996),Children
My Neighbor Totoro (Tonari no Totoro) (1988),Children
Alvin and the Chipmunks: The Squeakquel (2009),Children
Flubber (1997),Children
Scooby-Doo! Curse of the Lake Monster (2010),Children
"Amazing Panda Adventure, The (1995)",Children
Steamboat Willie (1928),Children
Despicable Me 2 (2013),Children
Spirit: Stallion of the Cimarron (2002),Children
"Jungle Book 2, The (2003)",Children
All Dogs Go to Heaven (1989),Children
Yogi Bear (2010),Children
Tangled (2010),Children
Meet Dave (2008),Children
"Powerpuff Girls, The (2002)",Children
"Wizard, The (1989)",Children
Home Alone 2: Lost in New York (1992),Children
Bad News Bears (2005),Children
Home Alone (1990),Children
Gulliver's Travels (1996),Children
Alvin and the Chipmunks (2007),Children
Doctor Who: The Next Doctor (2008),Children
Oliver & Company (1988),Children
Matilda (1996),Children
James and the Giant Peach (1996),Children
Looney Tunes: Back in Action (2003),Children
Tarzan (1999),Children
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",Children
Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987),Children
Sleeping Beauty (1959),Children
Ice Age: Dawn of the Dinosaurs (2009),Children
In Search of the Castaways (1962),Children
Daddy Day Camp (2007),Children
Scooby-Doo (2002),Children
